00001 A00     0 Cholera                                                      Cholera
00086 A0819   1 Acute gastroenteropathy due to other small round viruses     Acute gastroenteropathy due to other small round viruses
00087 A082    1 Adenoviral enteritis                                         Adenoviral enteritis
00088 A083    0 Other viral enteritis                                        Other viral enteritis
00089 A0831   1 Calicivirus enteritis                                        Calicivirus enteritis
00090 A0832   1 Astrovirus enteritis                                         Astrovirus enteritis
00091 A0839   1 Other viral enteritis                                        Other viral enteritis
00092 A084    1 Viral intestinal infection, unspecified                      Viral intestinal infection, unspecified
00093 A088    1 Other specified intestinal infections                        Other specified intestinal infections
00094 A09     1 Infectious gastroenteritis and colitis, unspecified          Infectious gastroenteritis and colitis, unspecified
00095 A15     0 Respiratory tuberculosis                                     Respiratory tuberculosis
00096 A150    1 Tuberculosis of lung                                         Tuberculosis of lung
00097 A154    1 Tuberculosis of intrathoracic lymph nodes                    Tuberculosis of intrathoracic lymph nodes
00098 A155    1 Tuberculosis of larynx, trachea and bronchus                 Tuberculosis of larynx, trachea and bronchus
00099 A156    1 Tuberculous pleurisy                                         Tuberculous pleurisy
00100 A157    1 Primary respiratory tuberculosis                             Primary respiratory tuberculosis
